timestamp,price,demand,temp_air,pv_power,pv_power_forecast_1h,pv_power_forecast_2h,pv_power_forecast_24h,pv_power_basic
2023-04-01 00:00:00+00:00,-48.5,740.52,15.8,7.349,2.804,8.117,7.867,889521.9153823274
2023-04-01 00:05:00+00:00,-55.0,748.06,15.8,7.349,2.804,8.117,7.867,889521.9153823274
2023-04-01 00:10:00+00:00,-55.0,752.46,15.8,7.349,2.804,8.117,7.867,889521.9153823274
2023-04-01 00:15:00+00:00,-55.0,745.04,15.8,7.349,2.804,8.117,7.867,889521.9153823274
2023-04-01 00:20:00+00:00,-53.00262,722.0,15.8,7.349,2.804,8.117,7.867,889521.9153823274
2023-04-01 00:25:00+00:00,-53.25719,715.63,15.8,7.349,2.804,8.117,7.867,889521.9153823274
2023-04-01 00:30:00+00:00,-55.0,719.1,16.2,7.213,10.365,3.313,8.953,972405.8266158584
2023-04-01 00:35:00+00:00,-55.30487,686.98,16.2,7.213,10.365,3.313,8.953,972405.8266158584
2023-04-01 00:40:00+00:00,-88.0,676.29,16.2,7.213,10.365,3.313,8.953,972405.8266158584
2023-04-01 00:45:00+00:00,-88.0,674.33,16.2,7.213,10.365,3.313,8.953,972405.8266158584
2023-04-01 00:50:00+00:00,-48.5,646.67,16.2,7.213,10.365,3.313,8.953,972405.8266158584
2023-04-01 00:55:00+00:00,-46.9,646.66,16.2,7.213,10.365,3.313,8.953,972405.8266158584
2023-04-01 01:00:00+00:00,-46.9,655.91,16.2,9.469,8.501,3.281,9.833,1081366.2690236564
2023-04-01 01:05:00+00:00,-48.4999,580.39,16.2,9.469,8.501,3.281,9.833,1081366.2690236564
2023-04-01 01:10:00+00:00,-46.89978,580.88,16.2,9.469,8.501,3.281,9.833,1081366.2690236564
2023-04-01 01:15:00+00:00,-53.0,520.96,16.2,9.469,8.501,3.281,9.833,1081366.2690236564
2023-04-01 01:20:00+00:00,-46.9,505.68,16.2,9.469,8.501,3.281,9.833,1081366.2690236564
2023-04-01 01:25:00+00:00,-21.97175,500.62,16.2,9.469,8.501,3.281,9.833,1081366.2690236564
2023-04-01 01:30:00+00:00,-46.89978,463.39,16.6,9.887,6.404,2.602,10.517,1169577.82826517
2023-04-01 01:35:00+00:00,-46.89978,516.62,16.6,9.887,6.404,2.602,10.517,1169577.82826517
2023-04-01 01:40:00+00:00,-46.8,494.15,16.6,9.887,6.404,2.602,10.517,1169577.82826517
2023-04-01 01:45:00+00:00,-32.0066,492.79,16.6,9.887,6.404,2.602,10.517,1169577.82826517
2023-04-01 01:50:00+00:00,0.0,486.67,16.6,9.887,6.404,2.602,10.517,1169577.82826517
2023-04-01 01:55:00+00:00,-46.8,473.4,16.6,9.887,6.404,2.602,10.517,1169577.82826517
2023-04-01 02:00:00+00:00,17.57769,535.43,17.0,4.322,2.714,3.229,11.001,1129658.0901698607
2023-04-01 02:05:00+00:00,24.83179,509.3,17.0,4.322,2.714,3.229,11.001,1129658.0901698607
2023-04-01 02:10:00+00:00,-4.6113,507.4,17.0,4.322,2.714,3.229,11.001,1129658.0901698607
2023-04-01 02:15:00+00:00,-16.94839,526.34,17.0,4.322,2.714,3.229,11.001,1129658.0901698607
2023-04-01 02:20:00+00:00,39.91457,550.9,17.0,4.322,2.714,3.229,11.001,1129658.0901698607
2023-04-01 02:25:00+00:00,45.1944,543.01,17.0,4.322,2.714,3.229,11.001,1129658.0901698607
2023-04-01 02:30:00+00:00,-17.56405,562.85,18.1,5.412,4.812,1.819,11.287,933828.0275598526
2023-04-01 02:35:00+00:00,-17.15851,601.85,18.1,5.412,4.812,1.819,11.287,933828.0275598526
2023-04-01 02:40:00+00:00,46.23996,647.71,18.1,5.412,4.812,1.819,11.287,933828.0275598526
2023-04-01 02:45:00+00:00,18.80824,636.04,18.1,5.412,4.812,1.819,11.287,933828.0275598526
2023-04-01 02:50:00+00:00,-38.6131,623.65,18.1,5.412,4.812,1.819,11.287,933828.0275598526
2023-04-01 02:55:00+00:00,-17.56611,644.75,18.1,5.412,4.812,1.819,11.287,933828.0275598526
2023-04-01 03:00:00+00:00,43.98885,623.69,17.1,3.998,3.921,1.028,11.383,698576.0724149938
2023-04-01 03:05:00+00:00,18.31574,592.5,17.1,3.998,3.921,1.028,11.383,698576.0724149938
2023-04-01 03:10:00+00:00,-17.67157,598.04,17.1,3.998,3.921,1.028,11.383,698576.0724149938
2023-04-01 03:15:00+00:00,18.31801,577.31,17.1,3.998,3.921,1.028,11.383,698576.0724149938
2023-04-01 03:20:00+00:00,38.52008,569.22,17.1,3.998,3.921,1.028,11.383,698576.0724149938
2023-04-01 03:25:00+00:00,0.0,541.66,17.1,3.998,3.921,1.028,11.383,698576.0724149938
2023-04-01 03:30:00+00:00,-14.34012,555.97,17.6,7.355,3.373,3.086,11.3,843345.1932082541
2023-04-01 03:35:00+00:00,11.10922,548.04,17.6,7.355,3.373,3.086,11.3,843345.1932082541
2023-04-01 03:40:00+00:00,32.61452,566.59,17.6,7.355,3.373,3.086,11.3,843345.1932082541
2023-04-01 03:45:00+00:00,42.06844,552.55,17.6,7.355,3.373,3.086,11.3,843345.1932082541
2023-04-01 03:50:00+00:00,92.1478,567.5,17.6,7.355,3.373,3.086,11.3,843345.1932082541
2023-04-01 03:55:00+00:00,2.62598,557.47,17.6,7.355,3.373,3.086,11.3,843345.1932082541
2023-04-01 04:00:00+00:00,17.04008,580.29,18.3,5.407,2.169,4.226,11.038,796446.3917020458
2023-04-01 04:05:00+00:00,40.68563,582.47,18.3,5.407,2.169,4.226,11.038,796446.3917020458
2023-04-01 04:10:00+00:00,59.68777,564.51,18.3,5.407,2.169,4.226,11.038,796446.3917020458
2023-04-01 04:15:00+00:00,7.89161,573.5,18.3,5.407,2.169,4.226,11.038,796446.3917020458
2023-04-01 04:20:00+00:00,23.9444,594.06,18.3,5.407,2.169,4.226,11.038,796446.3917020458
2023-04-01 04:25:00+00:00,-9.70606,596.02,18.3,5.407,2.169,4.226,11.038,796446.3917020458
2023-04-01 04:30:00+00:00,-0.8914,630.91,17.5,3.871,4.431,4.063,10.59,728698.7075941017
2023-04-01 04:35:00+00:00,-24.44938,651.39,17.5,3.871,4.431,4.063,10.59,728698.7075941017
2023-04-01 04:40:00+00:00,-33.51031,666.17,17.5,3.871,4.431,4.063,10.59,728698.7075941017
2023-04-01 04:45:00+00:00,-20.26842,663.55,17.5,3.871,4.431,4.063,10.59,728698.7075941017
2023-04-01 04:50:00+00:00,7.85595,669.36,17.5,3.871,4.431,4.063,10.59,728698.7075941017
2023-04-01 04:55:00+00:00,8.30709,668.88,17.5,3.871,4.431,4.063,10.59,728698.7075941017
2023-04-01 05:00:00+00:00,53.05368,681.7,18.0,4.976,4.781,3.37,9.956,674979.9912761329
2023-04-01 05:05:00+00:00,67.26666,669.92,18.0,4.976,4.781,3.37,9.956,674979.9912761329
2023-04-01 05:10:00+00:00,-17.65386,680.81,18.0,4.976,4.781,3.37,9.956,674979.9912761329
